,Case,Columns,Vectorizer,k,Direction,Exact,Precision,Recall,F1,Time
146,D5,2,smpnet,1,both,exact,0.0775147423297154,0.8460820895522388,0.1420183198935254,0.21497440338134766
147,D5,2,smpnet,5,right,exact,0.03427119968737788,0.8180970149253731,0.06578651263971194,0.6895604133605957
148,D5,2,smpnet,5,left,exact,0.025121638924455826,0.9151119402985075,0.048900852400179454,0.6895604133605957
149,D5,2,smpnet,5,both,exact,0.01700937145995675,0.9244402985074627,0.033404119054842085,0.6895604133605957
150,D5,2,smpnet,10,right,exact,0.018034388432981635,0.8610074626865671,0.03532879124244048,1.2612524032592773
151,D5,2,smpnet,10,left,exact,0.012880921895006402,0.9384328358208955,0.02541302480674986,1.2612524032592773
152,D5,2,smpnet,10,both,exact,0.008713807502501985,0.9421641791044776,0.017267909044281073,1.2612524032592773
153,D5,2,st5,1,right,exact,0.11723329425556858,0.5597014925373134,0.1938610662358643,0.21751713752746582
154,D5,2,st5,1,left,exact,0.10076824583866838,0.7341417910447762,0.17721233956316146,0.21751713752746582
155,D5,2,st5,1,both,exact,0.07196581196581196,0.7854477611940298,0.13185092389602254,0.21751713752746582
156,D5,2,st5,5,right,exact,0.0312231340367331,0.7453358208955224,0.05993548871052434,0.6740691661834717
157,D5,2,st5,5,left,exact,0.023687580025608196,0.8628731343283582,0.04610936643238124,0.6740691661834717
158,D5,2,st5,5,both,exact,0.016124572258131416,0.8703358208955224,0.0316625377540978,0.6740691661834717
159,D5,2,st5,10,right,exact,0.01662758890191481,0.7938432835820896,0.03257291586924902,1.2666094303131104
160,D5,2,st5,10,left,exact,0.012279129321382842,0.894589552238806,0.02422573637144445,1.2666094303131104
161,D5,2,st5,10,both,exact,0.00837617096782611,0.898320895522388,0.016597581889159867,1.2666094303131104
162,D5,2,sdistilroberta,1,right,exact,0.13384134427510747,0.6389925373134329,0.2213247172859451,0.22651410102844238
163,D5,2,sdistilroberta,1,left,exact,0.10857874519846351,0.7910447761194029,0.1909479846881333,0.22651410102844238
164,D5,2,sdistilroberta,1,both,exact,0.07685058259081563,0.8367537313432836,0.14077212806026365,0.22651410102844238
165,D5,2,sdistilroberta,5,right,exact,0.03415396639312231,0.8152985074626866,0.06556147325782012,0.6521940231323242
166,D5,2,sdistilroberta,5,left,exact,0.024276568501920615,0.8843283582089553,0.04725586959772693,0.6521940231323242
167,D5,2,sdistilroberta,5,both,exact,0.016853641250799467,0.9095149253731343,0.03309403798177282,0.6521940231323242
168,D5,2,sdistilroberta,10,right,exact,0.017721766314966785,0.8460820895522388,0.03471637449284238,1.264930009841919
169,D5,2,sdistilroberta,10,left,exact,0.012432778489116517,0.9057835820895522,0.024528873844288382,1.264930009841919
170,D5,2,sdistilroberta,10,both,exact,0.008628729310660404,0.9235074626865671,0.017097707352877686,1.264930009841919
171,D5,2,sminilm,1,right,exact,0.14146150840171942,0.6753731343283582,0.23392568659127624,0.22652769088745117
172,D5,2,sminilm,1,left,exact,0.11446862996158771,0.8339552238805971,0.20130601215942356,0.22652769088745117
173,D5,2,sminilm,1,both,exact,0.08072645116440737,0.8666044776119403,0.1476947535771065,0.22652769088745117
174,D5,2,sminilm,5,right,exact,0.03513091051191872,0.8386194029850746,0.06743680144025203,0.6416604518890381
175,D5,2,sminilm,5,left,exact,0.025403329065300895,0.9253731343283582,0.04944918000099696,0.6416604518890381
176,D5,2,sminilm,5,both,exact,0.017521261954335322,0.9263059701492538,0.034391992518962355,0.6416604518890381
177,D5,2,sminilm,10,right,exact,0.01819069949198906,0.8684701492537313,0.03563499961723953,1.247673511505127
178,D5,2,sminilm,10,left,exact,0.0129449423815621,0.9430970149253731,0.0255393320871015,1.247673511505127
179,D5,2,sminilm,10,both,exact,0.008990041663335377,0.9440298507462687,0.017810473332688027,1.247673511505127
180,D6,2,smpnet,1,right,exact,0.15769484808454426,0.8721461187214612,0.2670955111173262,0.26337194442749023
181,D6,2,smpnet,1,left,exact,0.13098591549295774,0.9342465753424658,0.2297585626052779,0.26337194442749023
182,D6,2,smpnet,1,both,exact,0.08919265271251602,0.9534246575342465,0.163125,0.26337194442749023
183,D6,2,smpnet,5,right,exact,0.034214002642007926,0.9461187214611873,0.0660398406374502,0.6993329524993896
184,D6,2,smpnet,5,left,exact,0.027170294494238155,0.9689497716894977,0.05285838834225931,0.6993329524993896
185,D6,2,smpnet,5,both,exact,0.018007868984766452,0.9780821917808219,0.03536462546847397,0.6993329524993896
186,D6,2,smpnet,10,right,exact,0.01750330250990753,0.9680365296803652,0.03438488362663207,1.3557403087615967
187,D6,2,smpnet,10,left,exact,0.013649167733674776,0.9735159817351599,0.02692089147042111,1.3557403087615967
188,D6,2,smpnet,10,both,exact,0.009110460095168747,0.982648401826484,0.01805353981929682,1.3557403087615967
