,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
276,D4,1,smpnet,10,i2q,exact,0.9559352517985612,0.0926765475152572,0.37290120124816895
277,D4,1,smpnet,5,i2q,exact,0.939748201438849,0.1822144725370532,0.136338472366333
278,D4,1,smpnet,1,i2q,exact,0.79181654676259,0.7676547515257193,0.03593730926513672
279,D4,1,st5,10,i2q,exact,0.987410071942446,0.09572798605056669,0.5923430919647217
280,D4,1,st5,5,i2q,exact,0.9766187050359713,0.1893635571054926,0.13512682914733887
281,D4,1,st5,1,i2q,exact,0.8394784172661871,0.8138622493461203,0.03647732734680176
282,D4,1,sdistilroberta,10,i2q,exact,0.9734712230215827,0.09437663469921534,0.42997312545776367
283,D4,1,sdistilroberta,5,i2q,exact,0.9590827338129496,0.1859633827375763,0.1898791790008545
284,D4,1,sdistilroberta,1,i2q,exact,0.8075539568345323,0.7829119442022667,0.0355226993560791
285,D4,1,sminilm,10,i2q,exact,0.9860611510791367,0.09559721011333915,0.2511332035064697
286,D4,1,sminilm,5,i2q,exact,0.9775179856115108,0.18953792502179598,0.1339871883392334
287,D4,1,sminilm,1,i2q,exact,0.835431654676259,0.8099389712292938,0.034987688064575195
288,D5,0,word2vec,10,i2q,exact,0.4216417910447761,0.005787451984635083,0.9565892219543457
289,D5,0,word2vec,5,i2q,exact,0.41697761194029853,0.01144686299615877,0.45755505561828613
290,D5,0,word2vec,1,i2q,exact,0.40205223880597013,0.05518565941101152,0.12643933296203613
291,D5,0,fasttext,10,i2q,exact,0.4608208955223881,0.006325224071702945,0.8411533832550049
292,D5,0,fasttext,5,i2q,exact,0.4608208955223881,0.01265044814340589,0.445296049118042
